match_id,fecha,#,jugador,equipo,fase,competencia,localia,min,pts,poss,plays,usg%,pts_t1,pts_t2,pts_t3,t2i%,t3i%,tci%,poss_i%,plays_i%,pts_min,pts_tiro,pts_poss,pts_plays
2607028,2024-12-15,5,E. Sepulveda Soto,CD ILLAPEL BASQUETBOL,Final four,LNB 2,Local,34.02,6,10.0,11.0,13.6,0.0,0.0,0.86,2.33,30.43,12.12,11.89,11.57,0.18,0.75,0.6,0.55
2607028,2024-12-15,11,S. Chialva Balut,CD ILLAPEL BASQUETBOL,Final four,LNB 2,Local,28.32,10,5.76,9.76,14.5,0.5,1.14,0.0,16.28,4.35,12.12,6.85,10.27,0.35,1.0,1.74,1.02
2607028,2024-12-15,13,M. Sepulveda Soto,CD ILLAPEL BASQUETBOL,Final four,LNB 2,Local,33.25,15,19.52,19.52,24.7,0.75,0.67,0.5,20.93,26.09,22.73,23.22,20.53,0.45,0.6,0.77,0.77
2607028,2024-12-15,15,A. Robinson Jr,CD ILLAPEL BASQUETBOL,Final four,LNB 2,Local,37.83,24,25.4,27.4,30.47,0.7,0.93,0.6,34.88,21.74,30.3,30.21,28.82,0.63,0.85,0.94,0.88
2607028,2024-12-15,29,F. Villagran Veliz,CD ILLAPEL BASQUETBOL,Final four,LNB 2,Local,16.77,3,5.32,6.32,15.85,0.33,2.0,0.0,2.33,0.0,1.52,6.33,6.65,0.18,2.0,0.56,0.47
2607028,2024-12-15,1,M. Brito Cortes,CD ILLAPEL BASQUETBOL,Final four,LNB 2,Local,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2607028,2024-12-15,2,L. Iceta Opazo,CD ILLAPEL BASQUETBOL,Final four,LNB 2,Local,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2607028,2024-12-15,4,P. Gonzalez Leiva,CD ILLAPEL BASQUETBOL,Final four,LNB 2,Local,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2607028,2024-12-15,6,R. Rojas Gonzalez,CD ILLAPEL BASQUETBOL,Final four,LNB 2,Local,23.78,7,11.88,13.88,24.56,0.5,0.75,0.0,18.6,17.39,18.18,14.13,14.6,0.29,0.5,0.59,0.5
2607028,2024-12-15,8,J. Rojas Rojo,CD ILLAPEL BASQUETBOL,Final four,LNB 2,Local,0.28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2607028,2024-12-15,9,F. Gonzalez Burgos,CD ILLAPEL BASQUETBOL,Final four,LNB 2,Local,25.75,2,6.2,7.2,11.76,0.4,0.0,0.0,4.65,0.0,3.03,7.37,7.57,0.08,0.0,0.32,0.28
2607028,2024-12-15,10,L. Gonzalez Huerta,CD ILLAPEL BASQUETBOL,Final four,LNB 2,Local,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2607028,2024-12-15,7,G. Soto Contreras,CORP. DEP. BOSTON COLLEGE,Final four,LNB 2,Visita,35.97,14,15.0,17.0,19.94,0.0,0.5,1.0,13.33,36.36,25.4,17.69,17.93,0.39,0.88,0.93,0.82
2607028,2024-12-15,13,C. Ordonez Lucero,CORP. DEP. BOSTON COLLEGE,Final four,LNB 2,Visita,34.05,14,16.88,16.88,20.92,1.0,1.2,1.0,16.67,18.18,17.46,19.91,17.81,0.41,1.09,0.83,0.83
2607028,2024-12-15,23,V. Schulz Morend,CORP. DEP. BOSTON COLLEGE,Final four,LNB 2,Visita,27.18,4,11.88,13.88,21.55,1.0,0.5,0.0,13.33,6.06,9.52,14.01,14.64,0.15,0.33,0.34,0.29
2607028,2024-12-15,55,A. Galaviz Diaz,CORP. DEP. BOSTON COLLEGE,Final four,LNB 2,Visita,28.12,3,7.76,10.76,16.15,0.75,0.0,0.0,10.0,9.09,9.52,9.15,11.35,0.11,0.0,0.39,0.28
2607028,2024-12-15,77,L. Marquez Dogliotti,CORP. DEP. BOSTON COLLEGE,Final four,LNB 2,Visita,25.98,8,16.4,17.4,28.26,0.4,0.4,0.0,33.33,3.03,17.46,19.34,18.35,0.31,0.36,0.49,0.46
2607028,2024-12-15,3,G. Fernandez Castro,CORP. DEP. BOSTON COLLEGE,Final four,LNB 2,Visita,7.95,0,4.0,5.0,26.54,0.0,0.0,0.0,0.0,9.09,4.76,4.72,5.27,0.0,0.0,0.0,0.0
2607028,2024-12-15,5,R. Castellano Pinto,CORP. DEP. BOSTON COLLEGE,Final four,LNB 2,Visita,8.72,1,2.88,2.88,13.94,0.5,0.0,0.0,0.0,0.0,0.0,3.4,3.04,0.11,0.0,0.35,0.35
2607028,2024-12-15,11,N. Ihnen Farias,CORP. DEP. BOSTON COLLEGE,Final four,LNB 2,Visita,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2607028,2024-12-15,15,F. Martinez Maury,CORP. DEP. BOSTON COLLEGE,Final four,LNB 2,Visita,10.85,5,5.0,5.0,19.44,0.0,2.0,0.75,3.33,12.12,7.94,5.9,5.27,0.46,1.0,1.0,1.0
2607028,2024-12-15,16,I. Pacheco Munoz,CORP. DEP. BOSTON COLLEGE,Final four,LNB 2,Visita,4.35,0,1.0,1.0,9.7,0.0,0.0,0.0,0.0,3.03,1.59,1.18,1.05,0.0,0.0,0.0,0.0
2607028,2024-12-15,22,H. Reyes Mosquera,CORP. DEP. BOSTON COLLEGE,Final four,LNB 2,Visita,12.38,2,2.0,3.0,10.22,0.0,1.0,0.0,6.67,0.0,3.17,2.36,3.16,0.16,1.0,1.0,0.67
2607028,2024-12-15,24,A. Guarda Colipan,CORP. DEP. BOSTON COLLEGE,Final four,LNB 2,Visita,4.45,0,2.0,2.0,18.96,0.0,0.0,0.0,3.33,3.03,3.17,2.36,2.11,0.0,0.0,0.0,0.0
