match_id,fecha,fase,competencia,numero_evento,#,jugador,club,evento,resultado,x,y,tipo_evento,periodo,tipo_periodo,tiempo_restante,tiempo_juego
2607028,2024-12-15,Final four,LNB 2,12,11,S. Chialva Balut,CD ILLAPEL BASQUETBOL,2pt,1,5.62,54.29,layup,1,REGULAR,09:22,00:38
2607028,2024-12-15,Final four,LNB 2,15,23,V. Schulz Morend,CORP. DEP. BOSTON COLLEGE,2pt,1,94.23,44.12,layup,1,REGULAR,09:11,00:49
2607028,2024-12-15,Final four,LNB 2,17,15,A. Robinson Jr,CD ILLAPEL BASQUETBOL,2pt,1,15.13,25.48,pullupjumpshot,1,REGULAR,08:50,01:10
2607028,2024-12-15,Final four,LNB 2,18,13,C. Ordonez Lucero,CORP. DEP. BOSTON COLLEGE,3pt,0,74.57,18.7,jumpshot,1,REGULAR,08:37,01:23
2607028,2024-12-15,Final four,LNB 2,25,13,M. Sepulveda Soto,CD ILLAPEL BASQUETBOL,2pt,1,4.99,45.82,eurostep,1,REGULAR,08:22,01:38
2607028,2024-12-15,Final four,LNB 2,30,77,L. Marquez Dogliotti,CORP. DEP. BOSTON COLLEGE,2pt,0,81.59,61.07,floatingjumpshot,1,REGULAR,08:04,01:56
2607028,2024-12-15,Final four,LNB 2,34,7,G. Soto Contreras,CORP. DEP. BOSTON COLLEGE,2pt,0,94.23,40.17,pullupjumpshot,1,REGULAR,07:59,02:01
2607028,2024-12-15,Final four,LNB 2,36,13,C. Ordonez Lucero,CORP. DEP. BOSTON COLLEGE,3pt,1,74.88,83.39,jumpshot,1,REGULAR,07:54,02:06
2607028,2024-12-15,Final four,LNB 2,41,77,L. Marquez Dogliotti,CORP. DEP. BOSTON COLLEGE,2pt,0,82.68,61.92,pullupjumpshot,1,REGULAR,07:21,02:39
2607028,2024-12-15,Final four,LNB 2,43,5,E. Sepulveda Soto,CD ILLAPEL BASQUETBOL,3pt,0,24.49,19.27,jumpshot,1,REGULAR,07:16,02:44
2607028,2024-12-15,Final four,LNB 2,45,13,C. Ordonez Lucero,CORP. DEP. BOSTON COLLEGE,3pt,1,82.22,7.68,pullupjumpshot,1,REGULAR,07:02,02:58
2607028,2024-12-15,Final four,LNB 2,60,13,M. Sepulveda Soto,CD ILLAPEL BASQUETBOL,3pt,0,30.11,38.47,jumpshot,1,REGULAR,06:28,03:32
2607028,2024-12-15,Final four,LNB 2,62,23,V. Schulz Morend,CORP. DEP. BOSTON COLLEGE,3pt,0,73.17,79.15,jumpshot,1,REGULAR,06:13,03:47
2607028,2024-12-15,Final four,LNB 2,64,77,L. Marquez Dogliotti,CORP. DEP. BOSTON COLLEGE,2pt,0,83.78,56.55,floatingjumpshot,1,REGULAR,06:07,03:53
2607028,2024-12-15,Final four,LNB 2,68,7,G. Soto Contreras,CORP. DEP. BOSTON COLLEGE,3pt,0,76.91,87.34,pullupjumpshot,1,REGULAR,05:57,04:03
2607028,2024-12-15,Final four,LNB 2,70,15,A. Robinson Jr,CD ILLAPEL BASQUETBOL,3pt,1,26.99,75.76,jumpshot,1,REGULAR,05:43,04:17
2607028,2024-12-15,Final four,LNB 2,80,13,M. Sepulveda Soto,CD ILLAPEL BASQUETBOL,2pt,0,5.93,41.86,hookshot,1,REGULAR,05:17,04:43
2607028,2024-12-15,Final four,LNB 2,91,13,C. Ordonez Lucero,CORP. DEP. BOSTON COLLEGE,3pt,0,95.01,97.51,jumpshot,1,REGULAR,04:55,05:05
2607028,2024-12-15,Final four,LNB 2,99,77,L. Marquez Dogliotti,CORP. DEP. BOSTON COLLEGE,2pt,0,78.63,26.61,pullupjumpshot,1,REGULAR,04:38,05:22
2607028,2024-12-15,Final four,LNB 2,101,15,A. Robinson Jr,CD ILLAPEL BASQUETBOL,2pt,0,3.28,43.28,layup,1,REGULAR,04:32,05:28
2607028,2024-12-15,Final four,LNB 2,103,9,F. Gonzalez Burgos,CD ILLAPEL BASQUETBOL,2pt,0,4.52,55.14,hookshot,1,REGULAR,04:15,05:45
2607028,2024-12-15,Final four,LNB 2,105,7,G. Soto Contreras,CORP. DEP. BOSTON COLLEGE,3pt,0,72.07,73.79,jumpshot,1,REGULAR,03:56,06:04
2607028,2024-12-15,Final four,LNB 2,107,5,E. Sepulveda Soto,CD ILLAPEL BASQUETBOL,2pt,0,11.23,80.85,pullupjumpshot,1,REGULAR,03:40,06:20
2607028,2024-12-15,Final four,LNB 2,109,22,H. Reyes Mosquera,CORP. DEP. BOSTON COLLEGE,2pt,1,76.91,47.23,jumpshot,1,REGULAR,03:28,06:32
